Time(ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,CO2
2850,-0.988,-0.117,-0.236,1.748,-0.916,1.985,276
2860,-0.990,-0.110,-0.224,1.511,0.229,1.481,0
2870,-0.986,-0.113,-0.217,0.954,0.427,0.977,0
2880,-0.985,-0.108,-0.203,0.832,1.053,1.099,0
2890,-0.975,-0.109,-0.211,0.534,0.771,1.107,0
2900,-0.976,-0.115,-0.225,0.588,0.214,1.107,282
2910,-0.969,-0.110,-0.230,0.809,-0.557,1.023,0
2920,-0.983,-0.108,-0.230,0.702,-0.924,1.290,0
2930,-0.982,-0.109,-0.229,0.824,-1.176,0.748,0
2940,-0.986,-0.111,-0.227,1.450,-0.878,0.702,0
2950,-0.980,-0.104,-0.229,1.496,-0.565,0.840,277
2960,-0.979,-0.109,-0.222,1.000,-0.206,0.634,0
2970,-0.979,-0.115,-0.216,0.427,0.191,0.718,0
2980,-0.973,-0.108,-0.214,0.107,0.176,0.687,0
2990,-0.979,-0.112,-0.215,-0.061,0.695,0.542,0
3000,-0.981,-0.108,-0.218,-0.168,0.298,0.504,276
3010,-0.978,-0.116,-0.217,-0.130,0.527,0.931,0
3020,-0.981,-0.113,-0.220,-0.511,0.450,0.824,0
3030,-0.977,-0.112,-0.228,0.008,0.252,0.710,0
3040,-0.979,-0.119,-0.227,-0.137,0.557,0.328,0
3050,-0.986,-0.111,-0.222,-0.450,1.099,0.656,279
3060,-0.989,-0.110,-0.229,-0.832,1.443,0.626,0
3070,-0.987,-0.111,-0.224,-0.840,1.733,0.664,0
3080,-0.989,-0.118,-0.225,-0.832,2.206,0.969,0
3090,-0.981,-0.102,-0.222,-0.748,2.481,1.031,0
3100,-0.982,-0.105,-0.219,-0.878,3.282,0.786,289
3110,-0.979,-0.109,-0.226,-1.145,2.435,0.847,0
3120,-0.980,-0.101,-0.224,-1.244,2.649,0.893,0
3130,-0.979,-0.103,-0.221,-1.168,2.496,0.855,0
3140,-0.978,-0.100,-0.220,-0.420,2.534,1.321,0
3150,-0.978,-0.104,-0.215,0.115,2.176,1.351,296
3160,-0.970,-0.106,-0.222,0.435,1.840,1.550,0
3170,-0.973,-0.097,-0.223,0.595,1.534,1.847,0
3180,-0.973,-0.100,-0.227,0.611,1.229,1.962,0
3190,-0.975,-0.098,-0.230,0.702,0.824,1.985,0
3200,-0.977,-0.099,-0.233,0.809,0.641,1.885,292
3210,-0.981,-0.100,-0.226,0.649,0.954,1.580,0
3220,-0.979,-0.108,-0.233,1.084,0.756,1.519,0
3230,-0.982,-0.112,-0.223,1.244,0.740,1.634,0
3240,-0.979,-0.103,-0.227,1.359,0.626,1.565,0
3250,-0.980,-0.104,-0.226,1.687,0.221,1.458,304
3260,-0.975,-0.111,-0.231,2.344,-0.115,1.489,0
3270,-0.981,-0.105,-0.237,2.023,-0.168,1.473,0
3280,-0.978,-0.110,-0.233,2.000,-0.366,1.351,0
3290,-0.981,-0.110,-0.237,1.702,0.031,0.901,0
3300,-0.979,-0.106,-0.234,1.267,-0.115,0.702,306
3310,-0.981,-0.103,-0.227,0.939,0.466,0.702,0
3320,-0.973,-0.106,-0.228,0.954,0.779,0.901,0
3330,-0.962,-0.098,-0.225,0.809,0.885,0.702,0
3340,-0.969,-0.101,-0.229,0.718,0.702,0.870,0
3350,-0.970,-0.101,-0.231,1.153,-0.107,1.137,309
3360,-0.979,-0.105,-0.222,1.260,-0.344,0.702,0
3370,-0.981,-0.105,-0.222,1.191,-0.443,0.710,0
3380,-0.985,-0.104,-0.224,0.863,-0.817,0.412,0
3390,-0.988,-0.099,-0.216,0.542,-0.634,0.282,0
3400,-0.980,-0.105,-0.219,0.389,-0.611,0.427,320
3410,-0.974,-0.107,-0.230,1.359,-1.389,0.542,0
3420,-0.964,-0.113,-0.232,1.321,-1.053,0.718,0
3430,-0.971,-0.107,-0.228,1.443,-1.344,0.305,0
3440,-0.979,-0.102,-0.223,1.298,-0.458,-0.099,0
3450,-0.970,-0.104,-0.214,0.573,0.252,-0.053,304
3460,-0.976,-0.108,-0.218,0.573,0.374,-0.183,0
3470,-0.976,-0.107,-0.227,-0.076,0.183,0.115,0
3480,-0.972,-0.108,-0.236,-0.267,-0.695,0.084,0
3490,-0.974,-0.101,-0.234,-0.275,-1.885,0.282,0
3500,-0.981,-0.094,-0.233,0.008,-2.374,0.573,309
3510,-0.990,-0.091,-0.230,1.191,-2.214,0.718,0
3520,-0.989,-0.096,-0.230,1.374,-2.008,0.740,0
3530,-0.986,-0.089,-0.237,1.481,-1.366,1.000,0
3540,-0.995,-0.087,-0.241,1.557,-0.511,1.069,0
3550,-0.995,-0.087,-0.231,1.695,0.298,1.053,329
3560,-0.989,-0.093,-0.230,1.695,0.565,0.794,0
3570,-0.989,-0.101,-0.220,2.473,0.786,0.534,0
3580,-0.983,-0.108,-0.216,2.947,1.374,0.603,0
3590,-0.979,-0.108,-0.215,2.939,1.863,0.260,0
3600,-0.970,-0.108,-0.212,2.458,1.748,0.099,326
3610,-0.973,-0.117,-0.215,2.198,0.931,-0.260,0
3620,-0.974,-0.112,-0.230,2.137,0.229,-0.198,0
3630,-0.974,-0.112,-0.235,1.824,0.313,-0.458,0
3640,-0.980,-0.111,-0.237,0.977,-0.038,-0.145,0
3650,-0.984,-0.108,-0.232,0.611,0.435,-0.405,315
3660,-0.985,-0.107,-0.221,-0.015,0.893,-0.137,0
3670,-0.988,-0.103,-0.223,-0.275,1.260,0.084,0
3680,-0.979,-0.102,-0.227,0.046,1.634,-0.206,0
3690,-0.978,-0.105,-0.231,-0.191,1.198,-0.260,0
3700,-0.977,-0.104,-0.234,-0.313,1.061,-0.038,310
3710,-0.969,-0.104,-0.224,-0.534,0.168,-0.221,0
3720,-0.963,-0.101,-0.224,-0.214,-0.397,0.137,0
3730,-0.968,-0.093,-0.226,0.382,-1.015,0.092,0
3740,-0.964,-0.098,-0.228,0.412,-1.344,-0.130,0
3750,-0.972,-0.103,-0.228,0.374,-1.420,0.031,309
3760,-0.979,-0.098,-0.230,0.405,-1.412,0.122,0
3770,-0.981,-0.101,-0.239,0.656,-1.672,0.176,0
3780,-0.982,-0.103,-0.228,0.580,-1.817,0.252,0
3790,-0.981,-0.104,-0.230,0.847,-1.489,0.336,0
3800,-0.980,-0.107,-0.231,0.718,-1.626,0.321,308
3810,-0.983,-0.099,-0.230,1.267,-1.168,0.282,0
3820,-0.980,-0.101,-0.237,0.870,-1.221,0.153,0
3830,-0.983,-0.105,-0.234,1.084,-0.977,0.214,0
3840,-0.982,-0.099,-0.230,1.603,-0.511,0.122,0
3850,-0.982,-0.103,-0.228,1.405,0.000,0.031,321
3860,-0.978,-0.099,-0.226,1.229,0.626,0.481,0
3870,-0.971,-0.102,-0.226,0.786,0.863,0.260,0
3880,-0.970,-0.108,-0.236,0.687,0.947,0.557,0
3890,-0.968,-0.103,-0.243,0.206,0.870,0.802,0
3900,-0.970,-0.106,-0.258,-0.504,2.206,0.718,323
3910,-0.969,-0.096,-0.274,-1.489,4.160,-0.076,0
3920,-0.981,-0.094,-0.271,-2.771,4.824,0.282,0
3930,-0.988,-0.092,-0.254,-4.053,5.580,0.282,0
3940,-0.987,-0.097,-0.223,-5.046,6.779,0.313,0
3950,-0.982,-0.099,-0.200,-4.794,6.534,0.573,317
3960,-0.967,-0.094,-0.194,-2.496,5.198,1.046,0
3970,-0.959,-0.103,-0.195,-1.344,4.397,1.206,0
3980,-0.977,-0.110,-0.218,-1.176,2.313,1.389,0
3990,-0.983,-0.104,-0.232,-1.374,1.382,1.298,0
4000,-0.995,-0.104,-0.229,-1.214,1.817,0.718,318
4010,-0.975,-0.115,-0.252,0.031,1.832,1.191,0
4020,-0.974,-0.118,-0.257,1.008,2.084,1.435,0
4030,-0.973,-0.119,-0.242,0.847,2.092,0.916,0
4040,-0.975,-0.118,-0.242,0.901,1.947,0.550,0
4050,-0.982,-0.114,-0.229,0.298,1.855,0.275,311
4060,-0.972,-0.113,-0.207,-0.458,1.870,-0.702,0
4070,-0.965,-0.120,-0.205,-0.374,1.611,-0.969,0
4080,-0.968,-0.111,-0.211,-0.168,1.840,-0.710,0
4090,-0.968,-0.105,-0.223,0.252,1.573,-0.588,0
4100,-0.973,-0.104,-0.245,0.550,1.107,-0.489,326
4110,-0.973,-0.099,-0.249,1.008,0.664,-0.382,0
4120,-0.978,-0.097,-0.248,1.542,0.504,0.160,0
4130,-0.980,-0.095,-0.262,1.489,0.359,0.321,0
4140,-0.988,-0.101,-0.256,0.634,0.954,0.260,0
4150,-0.994,-0.099,-0.247,0.496,1.198,0.481,352
4160,-0.989,-0.095,-0.243,0.344,1.389,0.611,0
4170,-0.989,-0.102,-0.240,0.519,1.588,0.855,0
